date,daily_pnl_usd,equity
2022-01-20,-298.5,49701.5
2022-04-27,-57.5,49644.0
2023-03-14,136.0,49780.0
2023-04-13,-143.75,49636.25
2023-04-18,48.75,49685.0
2023-04-19,67.5,49752.5
2023-04-20,75.0,49827.5
2023-04-25,-116.25,49711.25
2023-04-27,-121.25,49590.0
2023-05-02,-156.25,49433.75
2023-05-10,76.25,49510.0
2023-05-17,52.5,49562.5
2023-05-22,71.25,49633.75
2023-05-23,-150.0,49483.75
2023-05-26,-128.75,49355.0
2023-05-31,-41.25,49313.75
2023-06-07,46.25,49360.0
2023-06-09,52.5,49412.5
2023-06-12,-133.75,49278.75
2023-06-13,80.0,49358.75
2023-06-16,47.5,49406.25
2023-06-20,10.0,49416.25
2023-06-21,56.25,49472.5
2023-06-22,45.0,49517.5
2023-06-27,185.0,49702.5
2023-06-28,31.25,49733.75
2023-07-05,160.0,49893.75
2023-07-11,185.0,50078.75
2023-07-13,-455.0,49623.75
2023-07-14,240.0,49863.75
2023-07-19,315.0,50178.75
2023-07-21,185.0,50363.75
2023-07-24,270.0,50633.75
2023-07-26,315.0,50948.75
2023-07-28,-245.0,50703.75
2023-08-01,-40.0,50663.75
2023-08-04,360.0,51023.75
2023-08-11,68.75,51092.5
2023-08-15,-150.0,50942.5
2023-08-23,-152.5,50790.0
2023-09-06,-145.0,50645.0
2023-09-11,-23.75,50621.25
2023-09-14,-440.0,50181.25
2023-09-19,-455.0,49726.25
2023-09-20,160.0,49886.25
2023-09-28,43.75,49930.0
2023-09-29,83.75,50013.75
2023-11-20,-143.75,49870.0
2023-11-21,7.5,49877.5
2023-11-27,135.0,50012.5
2023-11-28,115.0,50127.5
2023-11-29,420.0,50547.5
2023-12-05,331.25,50878.75
2023-12-06,275.0,51153.75
2023-12-07,-350.0,50803.75
2023-12-12,275.0,51078.75
2023-12-14,290.0,51368.75
2023-12-18,-170.0,51198.75
2023-12-19,-315.0,50883.75
2023-12-26,-210.0,50673.75
2024-01-03,-315.0,50358.75
2024-01-08,-470.0,49888.75
2024-01-09,345.0,50233.75
2024-01-10,210.0,50443.75
2024-01-12,310.0,50753.75
2024-01-18,250.0,51003.75
2024-01-22,87.5,51091.25
2024-01-24,240.0,51331.25
2024-01-25,215.0,51546.25
2024-01-31,-470.0,51076.25
2024-02-01,285.0,51361.25
2024-02-02,365.0,51726.25
2024-02-06,41.25,51767.5
2024-02-07,-102.5,51665.0
2024-02-16,55.0,51720.0
2024-02-20,-50.0,51670.0
2024-02-23,103.75,51773.75
2024-02-26,127.5,51901.25
2024-02-28,161.25,52062.5
2024-03-05,-575.0,51487.5
2024-03-06,11.25,51498.75
2024-03-07,-217.5,51281.25
2024-03-08,180.0,51461.25
2024-03-19,58.75,51520.0
2024-03-21,56.25,51576.25
2024-03-27,217.5,51793.75
2024-04-01,195.0,51988.75
2024-04-04,465.0,52453.75
2024-04-09,250.0,52703.75
2024-05-15,-161.25,52542.5
2024-05-23,260.0,52802.5
2024-05-24,-480.0,52322.5
2024-05-31,240.0,52562.5
2024-06-03,108.75,52671.25
2024-06-04,191.25,52862.5
2024-06-05,-416.25,52446.25
2024-06-07,202.5,52648.75
2024-06-11,76.25,52725.0
2024-06-14,40.0,52765.0
2024-06-26,190.0,52955.0
2024-06-27,345.0,53300.0
2024-06-28,-500.0,52800.0
2024-07-05,130.0,52930.0
2024-07-08,337.5,53267.5
2024-07-09,150.0,53417.5
2024-07-10,-562.5,52855.0
2024-07-15,420.0,53275.0
2024-07-16,245.0,53520.0
2024-07-18,123.75,53643.75
2024-10-07,-195.0,53448.75
2024-10-10,180.0,53628.75
2024-10-14,-461.25,53167.5
2024-10-17,71.25,53238.75
2024-10-22,337.5,53576.25
2024-10-23,-450.0,53126.25
2024-10-25,262.5,53388.75
2024-10-28,176.25,53565.0
2024-10-29,285.0,53850.0
2024-10-30,217.5,54067.5
2024-11-01,96.25,54163.75
2024-11-04,51.25,54215.0
2024-11-05,-172.5,54042.5
2024-11-18,112.0,54154.5
2024-11-29,-52.5,54102.0
2024-12-04,-311.25,53790.75
2024-12-06,230.0,54020.75
2024-12-11,-550.0,53470.75
2024-12-12,193.75,53664.5
2024-12-13,356.25,54020.75
2024-12-16,-118.75,53902.0
2025-02-26,135.0,54037.0
2025-04-08,-343.75,53693.25
2025-04-09,1555.0,55248.25
2025-07-07,65.0,55313.25
2025-07-09,367.5,55680.75
2025-07-11,367.5,56048.25
2025-07-15,596.0,56644.25
2025-07-16,355.0,56999.25
2025-07-21,193.0,57192.25
2025-07-23,315.0,57507.25
2025-07-24,200.0,57707.25
2025-07-29,636.0,58343.25
2025-07-31,170.0,58513.25
2025-08-07,435.0,58948.25
2025-08-20,-188.75,58759.5
2025-08-21,67.5,58827.0
2025-08-22,-637.5,58189.5
2025-08-25,142.5,58332.0
2025-08-28,285.0,58617.0
2025-08-29,-635.0,57982.0
2025-09-05,251.25,58233.25
2025-09-10,191.25,58424.5
2025-09-11,-506.25,57918.25
2025-09-15,-105.0,57813.25
2025-09-18,-200.0,57613.25
2025-09-22,153.75,57767.0
2025-09-26,385.0,58152.0
2025-09-29,290.0,58442.0
2025-10-02,245.0,58687.0
2025-10-03,305.0,58992.0
2025-10-06,240.0,59232.0
2025-10-10,310.0,59542.0
2025-11-19,20.0,59562.0
2025-12-11,247.5,59809.5
2025-12-12,-517.5,59292.0
2025-12-15,168.75,59460.75
2025-12-16,180.0,59640.75
2025-12-29,-165.0,59475.75
2026-01-02,251.25,59727.0
2026-01-05,-95.0,59632.0
2026-01-08,250.0,59882.0
2026-01-09,250.0,60132.0
2026-01-12,250.0,60382.0
2026-01-15,465.0,60847.0
2026-01-16,225.0,61072.0
2026-01-26,-165.0,60907.0
2026-01-28,150.0,61057.0
