date,daily_pnl_usd,equity
2025-02-26,135.0,50135.0
2025-04-08,-343.75,49791.25
2025-04-09,1555.0,51346.25
2025-07-09,367.5,51713.75
2025-07-11,367.5,52081.25
2025-07-15,596.0,52677.25
2025-07-16,355.0,53032.25
2025-07-21,193.0,53225.25
2025-07-23,315.0,53540.25
2025-07-24,200.0,53740.25
2025-07-29,636.0,54376.25
2025-07-31,170.0,54546.25
2025-08-07,435.0,54981.25
2025-08-22,-637.5,54343.75
2025-08-25,142.5,54486.25
2025-08-28,213.75,54700.0
2025-08-29,-476.25,54223.75
2025-09-05,251.25,54475.0
2025-09-10,191.25,54666.25
2025-09-11,-506.25,54160.0
2025-09-15,-78.75,54081.25
2025-09-18,-150.0,53931.25
2025-09-22,153.75,54085.0
2025-09-26,385.0,54470.0
2025-09-29,290.0,54760.0
2025-10-02,245.0,55005.0
2025-10-03,228.75,55233.75
2025-10-06,180.0,55413.75
2025-10-10,310.0,55723.75
2025-11-19,20.0,55743.75
2025-12-11,247.5,55991.25
2025-12-12,-517.5,55473.75
2025-12-15,168.75,55642.5
2025-12-16,180.0,55822.5
2025-12-29,-165.0,55657.5
2026-01-02,251.25,55908.75
2026-01-05,-71.25,55837.5
2026-01-08,250.0,56087.5
2026-01-09,250.0,56337.5
2026-01-12,200.0,56537.5
2026-01-15,465.0,57002.5
2026-01-16,225.0,57227.5
2026-01-26,-165.0,57062.5
2026-01-28,150.0,57212.5
