date,daily_pnl_usd,equity
2020-01-02,256.25,50256.25
2020-01-06,596.25,50852.5
2020-01-07,125.0,50977.5
2020-01-08,-806.25,50171.25
2020-01-09,-87.5,50083.75
2020-01-13,-447.75,49636.0
2020-01-14,32.5,49668.5
2020-01-16,-311.0,49357.5
2020-01-21,106.25,49463.75
2020-01-22,332.5,49796.25
2020-01-24,106.0,49902.25
2020-02-03,2.5,49904.75
2020-02-07,-16.25,49888.5
2020-02-12,-11.25,49877.25
2020-02-13,50.0,49927.25
2020-02-18,-6.25,49921.0
2020-02-19,-27.5,49893.5
2020-02-26,-102.5,49791.0
2020-03-04,393.75,50184.75
2020-04-22,60.0,50244.75
2020-06-12,-137.5,50107.25
2020-08-05,-31.25,50076.0
2020-08-07,45.0,50121.0
2020-08-11,58.75,50179.75
2020-08-12,-123.75,50056.0
2020-08-17,5.0,50061.0
2020-08-18,28.75,50089.75
2020-08-20,32.5,50122.25
2020-10-27,92.5,50214.75
2020-11-30,-132.5,50082.25
2020-12-02,36.25,50118.5
2020-12-04,-86.25,50032.25
2020-12-10,45.0,50077.25
2020-12-17,10.0,50087.25
2020-12-23,28.75,50116.0
2020-12-29,57.5,50173.5
