symbol,direction,quantity,entry_time,entry_price,exit_time,exit_price,profit_loss,mae,mfe,max_adverse_excursion,max_favorable_excursion
,,1,2022-01-20T14:40:00Z,15199.75,2022-01-20T20:07:00Z,15050.5,-298.5,-298.5,276.5,-298.5,276.5
,,1,2022-04-27T13:40:00Z,4191.25,2022-04-27T19:58:00Z,4179.75,-57.5,-169.38,222.5,-169.38,222.5
,,1,2023-03-14T13:40:00Z,12124.75,2023-03-14T19:58:00Z,12192.75,136,-154.5,191,-154.5,191
,,1,2023-04-13T13:40:00Z,4128.5,2023-04-13T17:12:00Z,4157.25,-143.75,-143.75,11.88,-143.75,11.88
,,1,2023-04-18T13:40:00Z,4191,2023-04-18T14:03:00Z,4181.25,48.75,-12.5,49.38,-12.5,49.38
,,1,2023-04-19T13:40:00Z,4159.25,2023-04-19T15:57:00Z,4172.75,67.5,-5.62,68.12,-5.62,68.12
,,1,2023-04-20T13:40:00Z,4152.25,2023-04-20T17:01:00Z,4167.25,75,-20,76.25,-20,76.25
,,1,2023-04-25T13:40:00Z,4142.25,2023-04-25T16:34:00Z,4119,-116.25,-116.25,5.62,-116.25,5.62
,,1,2023-04-27T13:40:00Z,4102.75,2023-04-27T16:50:00Z,4127,-121.25,-121.25,20,-121.25,20
,,1,2023-05-02T13:40:00Z,4170,2023-05-02T14:23:00Z,4138.75,-156.25,-156.25,0,-156.25,0
,,1,2023-05-10T13:40:00Z,4155.25,2023-05-10T13:49:00Z,4140,76.25,0,76.88,0,76.88
,,1,2023-05-17T13:40:00Z,4140.25,2023-05-17T13:51:00Z,4129.75,52.5,0,53.12,0,53.12
,,1,2023-05-22T13:40:00Z,4218.5,2023-05-22T14:03:00Z,4204.25,71.25,-11.88,71.88,-11.88,71.88
,,1,2023-05-23T13:40:00Z,4188.75,2023-05-23T18:24:00Z,4158.75,-150,-150,40,-150,40
,,1,2023-05-26T13:40:00Z,4177,2023-05-26T14:26:00Z,4202.75,-128.75,-128.75,0,-128.75,0
,,1,2023-05-31T13:40:00Z,4198.25,2023-05-31T19:58:00Z,4190,-41.25,-118.75,20,-118.75,20
,,1,2023-06-07T13:40:00Z,4301,2023-06-07T14:16:00Z,4291.75,46.25,-13.75,46.88,-13.75,46.88
,,1,2023-06-09T13:40:00Z,4310.75,2023-06-09T15:32:00Z,4300.25,52.5,-70,53.12,-70,53.12
,,1,2023-06-12T13:40:00Z,4314.5,2023-06-12T19:16:00Z,4341.25,-133.75,-133.75,33.75,-133.75,33.75
,,1,2023-06-13T13:40:00Z,4369.25,2023-06-13T14:14:00Z,4353.25,80,-21.88,80.62,-21.88,80.62
,,1,2023-06-16T13:40:00Z,4481,2023-06-16T13:47:00Z,4471.5,47.5,0,47.5,0,47.5
,,1,2023-06-19T13:40:00Z,4445.5,2023-06-20T04:00:00Z,4447.5,10,-10,15.62,-10,15.62
,,1,2023-06-21T13:40:00Z,4415.25,2023-06-21T18:25:00Z,4426.5,56.25,-53.12,56.88,-53.12,56.88
,,1,2023-06-22T13:40:00Z,4397.25,2023-06-22T13:56:00Z,4406.25,45,0,46.25,0,46.25
,,4,2023-06-27T13:40:00Z,4386,2023-06-27T14:11:00Z,4376.75,185,-22.5,187.5,-22.5,187.5
,,1,2023-06-28T13:40:00Z,4405.75,2023-06-28T14:31:00Z,4412,31.25,-30,31.88,-30,31.88
,,4,2023-07-05T13:40:00Z,4478.75,2023-07-05T14:18:00Z,4486.75,160,0,165,0,165
,,4,2023-07-11T13:40:00Z,4457.5,2023-07-11T13:43:00Z,4448.25,185,0,190,0,190
,,4,2023-07-13T13:40:00Z,4528.5,2023-07-13T19:45:00Z,4551.25,-455,-455,60,-455,60
,,4,2023-07-14T13:40:00Z,4556,2023-07-14T14:47:00Z,4544,240,-67.5,245,-67.5,245
,,4,2023-07-19T13:40:00Z,4605.25,2023-07-19T18:11:00Z,4589.5,315,-60,320,-60,320
,,4,2023-07-21T13:40:00Z,4579.25,2023-07-21T13:52:00Z,4570,185,0,187.5,0,187.5
,,4,2023-07-24T13:40:00Z,4583,2023-07-24T13:55:00Z,4569.5,270,-42.5,275,-42.5,275
,,4,2023-07-26T13:40:00Z,4588.25,2023-07-26T18:40:00Z,4604,315,-152.5,317.5,-152.5,317.5
,,4,2023-07-28T13:40:00Z,4596,2023-07-28T19:58:00Z,4608.25,-245,-405,122.5,-405,122.5
,,4,2023-08-01T13:40:00Z,4604,2023-08-01T19:58:00Z,4602,-40,-232.5,62.5,-232.5,62.5
,,4,2023-08-04T13:40:00Z,4548.75,2023-08-04T14:03:00Z,4530.75,360,-17.5,362.5,-17.5,362.5
,,1,2023-08-11T13:40:00Z,4469.25,2023-08-11T14:16:00Z,4483,68.75,-36.88,69.38,-36.88,69.38
,,1,2023-08-15T13:40:00Z,4489.25,2023-08-15T14:37:00Z,4459.25,-150,-150,0,-150,0
,,1,2023-08-23T13:40:00Z,4412.25,2023-08-23T16:43:00Z,4442.75,-152.5,-152.5,3.12,-152.5,3.12
,,1,2023-09-06T13:40:00Z,4484.5,2023-09-06T16:43:00Z,4455.5,-145,-145,40,-145,40
,,1,2023-09-11T13:40:00Z,4484,2023-09-11T19:58:00Z,4488.75,-23.75,-41.88,63.12,-41.88,63.12
,,4,2023-09-14T13:40:00Z,4489.75,2023-09-14T19:05:00Z,4511.75,-440,-440,177.5,-440,177.5
,,4,2023-09-19T13:40:00Z,4492.5,2023-09-19T14:40:00Z,4469.75,-455,-455,27.5,-455,27.5
,,4,2023-09-20T13:40:00Z,4503.25,2023-09-20T15:39:00Z,4495.25,160,-75,162.5,-75,162.5
,,1,2023-09-28T13:40:00Z,4310.25,2023-09-28T13:56:00Z,4319,43.75,-37.5,44.38,-37.5,44.38
,,1,2023-09-29T13:40:00Z,4365.25,2023-09-29T15:35:00Z,4348.5,83.75,-20.62,85,-20.62,85
,,1,2023-11-20T14:40:00Z,4534.5,2023-11-20T19:43:00Z,4563.25,-143.75,-143.75,5,-143.75,5
,,1,2023-11-21T14:40:00Z,4548.25,2023-11-21T20:58:00Z,4549.75,7.5,-48.12,29.38,-48.12,29.38
,,4,2023-11-27T14:40:00Z,4559.25,2023-11-27T15:10:00Z,4566,135,-60,140,-60,140
,,4,2023-11-28T14:40:00Z,4553.5,2023-11-28T15:40:00Z,4559.25,115,-75,120,-75,120
,,4,2023-11-29T14:40:00Z,4591.5,2023-11-29T16:11:00Z,4570.5,420,-100,422.5,-100,422.5
,,5,2023-12-05T14:40:00Z,4560,2023-12-05T15:01:00Z,4573.25,331.25,-37.5,334.38,-37.5,334.38
,,5,2023-12-06T14:40:00Z,4588,2023-12-06T15:26:00Z,4577,275,-112.5,278.12,-112.5,278.12
,,5,2023-12-07T14:40:00Z,4576.5,2023-12-07T20:58:00Z,4590.5,-350,-443.75,137.5,-443.75,137.5
,,5,2023-12-12T14:40:00Z,4611,2023-12-12T15:05:00Z,4622,275,0,278.12,0,278.12
,,4,2023-12-14T14:40:00Z,4727.25,2023-12-14T18:27:00Z,4712.75,290,-220,295,-220,295
,,4,2023-12-18T14:40:00Z,4785.5,2023-12-18T20:58:00Z,4794,-170,-312.5,52.5,-312.5,52.5
,,4,2023-12-19T14:40:00Z,4802.5,2023-12-19T20:58:00Z,4818.25,-315,-315,30,-315,30
,,4,2023-12-26T14:40:00Z,4813.5,2023-12-26T20:58:00Z,4824,-210,-390,32.5,-390,32.5
,,4,2024-01-03T14:40:00Z,4762,2024-01-03T20:58:00Z,4746.25,-315,-405,175,-405,175
,,4,2024-01-08T14:40:00Z,4746.75,2024-01-08T17:53:00Z,4770.25,-470,-470,107.5,-470,107.5
,,4,2024-01-09T14:40:00Z,4774,2024-01-09T16:53:00Z,4791.25,345,-112.5,347.5,-112.5,347.5
,,4,2024-01-10T14:40:00Z,4805,2024-01-10T15:03:00Z,4794.5,210,-45,215,-45,215
,,4,2024-01-12T14:40:00Z,4834,2024-01-12T15:01:00Z,4818.5,310,-25,315,-25,315
,,4,2024-01-18T14:40:00Z,4787,2024-01-18T18:01:00Z,4774.5,250,-180,252.5,-180,252.5
,,1,2024-01-22T14:40:00Z,4894.25,2024-01-22T18:28:00Z,4876.75,87.5,-17.5,88.12,-17.5,88.12
,,4,2024-01-24T14:40:00Z,4918.25,2024-01-24T19:22:00Z,4906.25,240,-290,242.5,-290,242.5
,,4,2024-01-25T14:40:00Z,4916.25,2024-01-25T17:35:00Z,4905.5,215,-165,217.5,-165,217.5
,,4,2024-01-31T14:40:00Z,4925.5,2024-01-31T19:01:00Z,4902,-470,-470,0,-470,0
,,4,2024-02-01T14:40:00Z,4889.75,2024-02-01T16:13:00Z,4875.5,285,-185,287.5,-185,287.5
,,4,2024-02-02T14:40:00Z,4936.75,2024-02-02T15:43:00Z,4955,365,-60,367.5,-60,367.5
,,1,2024-02-06T14:40:00Z,4971.25,2024-02-06T15:01:00Z,4963,41.25,-29.38,41.88,-29.38,41.88
,,1,2024-02-07T14:40:00Z,4994,2024-02-07T20:58:00Z,5014.5,-102.5,-127.5,26.25,-127.5,26.25
,,1,2024-02-16T14:40:00Z,5035,2024-02-16T16:31:00Z,5046,55,-85.62,56.25,-85.62,56.25
,,1,2024-02-19T14:40:00Z,5027,2024-02-20T05:00:00Z,5024.75,11.25,-8.12,18.75,-8.12,18.75
,,1,2024-02-20T14:40:00Z,4997.5,2024-02-20T20:58:00Z,4985.25,-61.25,-138.75,0,-138.75,0
,,1,2024-02-23T14:40:00Z,5118.5,2024-02-23T16:05:00Z,5097.75,103.75,-21.25,104.38,-21.25,104.38
,,3,2024-02-26T14:40:00Z,5105.5,2024-02-26T15:50:00Z,5097,127.5,-9.38,129.38,-9.38,129.38
,,3,2024-02-28T14:40:00Z,5074.75,2024-02-28T16:01:00Z,5085.5,161.25,-73.12,165,-73.12,165
,,4,2024-03-05T14:40:00Z,5113,2024-03-05T16:44:00Z,5084.25,-575,-575,145,-575,145
,,3,2024-03-06T14:40:00Z,5112.75,2024-03-06T20:58:00Z,5112,11.25,-318.75,211.88,-318.75,211.88
,,3,2024-03-07T14:40:00Z,5146.25,2024-03-07T20:58:00Z,5160.75,-217.5,-360,157.5,-360,157.5
,,3,2024-03-08T14:40:00Z,5171.5,2024-03-08T16:29:00Z,5159.5,180,-301.88,181.88,-301.88,181.88
,,1,2024-03-19T13:40:00Z,5197.75,2024-03-19T14:56:00Z,5209.5,58.75,-10.62,60,-10.62,60
,,1,2024-03-21T13:40:00Z,5315.75,2024-03-21T19:58:00Z,5304.5,56.25,-32.5,63.75,-32.5,63.75
,,3,2024-03-27T13:40:00Z,5290.75,2024-03-27T14:03:00Z,5276.25,217.5,-33.75,219.38,-33.75,219.38
,,4,2024-04-01T13:40:00Z,5315.25,2024-04-01T14:05:00Z,5305.5,195,-35,197.5,-35,197.5
,,4,2024-04-04T13:40:00Z,5300.25,2024-04-04T18:09:00Z,5277,465,-142.5,467.5,-142.5,467.5
,,4,2024-04-09T13:40:00Z,5270.25,2024-04-09T13:50:00Z,5257.75,250,-7.5,255,-7.5,255
,,1,2024-05-15T13:40:00Z,5299,2024-05-15T19:54:00Z,5331.25,-161.25,-161.25,55.62,-161.25,55.62
,,4,2024-05-23T13:40:00Z,5345.75,2024-05-23T13:51:00Z,5332.75,260,0,262.5,0,262.5
,,4,2024-05-24T13:40:00Z,5302,2024-05-24T15:11:00Z,5326,-480,-480,135,-480,135
