symbol,direction,quantity,entry_time,entry_price,exit_time,exit_price,profit_loss,mae,mfe,max_adverse_excursion,max_favorable_excursion
,,3,2025-02-26T14:40:00Z,5991.5,2025-02-26T14:43:00Z,5982.5,135,0,138.75,0,138.75
,,1,2025-04-08T13:40:00Z,5243.25,2025-04-08T16:23:00Z,5174.5,-343.75,-343.75,298.75,-343.75,298.75
,,1,2025-04-09T13:40:00Z,5045.25,2025-04-09T17:27:00Z,5356.25,1555,-318.12,1557.5,-318.12,1557.5
,,3,2025-07-09T13:40:00Z,6306,2025-07-09T14:53:00Z,6281.5,367.5,-125.62,369.38,-125.62,369.38
,,3,2025-07-11T13:40:00Z,6286.25,2025-07-11T18:01:00Z,6310.75,367.5,-78.75,369.38,-78.75,369.38
,,4,2025-07-15T13:40:00Z,6327.5,2025-07-15T14:32:00Z,6313.75,275,-25,280,-25,280
,,2,2025-07-15T13:40:00Z,23154.75,2025-07-15T19:58:00Z,23074.5,321,-162,321.5,-162,321.5
,,4,2025-07-16T13:40:00Z,6298.5,2025-07-16T14:07:00Z,6280.75,355,0,360,0,360
,,4,2025-07-21T13:40:00Z,6351.25,2025-07-21T19:58:00Z,6341.25,200,-447.5,202.5,-447.5,202.5
,,2,2025-07-21T13:40:00Z,23328,2025-07-21T19:58:00Z,23329.75,-7,-378,2,-378,2
,,4,2025-07-23T13:40:00Z,6369.75,2025-07-23T14:01:00Z,6354,315,0,317.5,0,317.5
,,2,2025-07-24T13:40:00Z,23347.25,2025-07-24T13:48:00Z,23397.25,200,-50,202,-50,202
,,4,2025-07-29T13:40:00Z,6438.75,2025-07-29T13:51:00Z,6426.75,240,0,245,0,245
,,2,2025-07-29T13:40:00Z,23645.5,2025-07-29T14:28:00Z,23546.5,396,0,397,0,397
,,4,2025-07-31T13:40:00Z,6436,2025-07-31T14:51:00Z,6427.5,170,-265,175,-265,175
,,3,2025-08-07T13:40:00Z,6411.75,2025-08-07T14:24:00Z,6382.75,435,-22.5,438.75,-22.5,438.75
,,3,2025-08-22T13:40:00Z,6415.5,2025-08-22T14:01:00Z,6458,-637.5,-637.5,50.62,-637.5,50.62
,,3,2025-08-25T13:40:00Z,6470.75,2025-08-25T16:01:00Z,6480.25,142.5,-65.62,146.25,-65.62,146.25
,,3,2025-08-28T13:40:00Z,6502.25,2025-08-28T13:51:00Z,6488,213.75,-9.38,215.62,-9.38,215.62
,,3,2025-08-29T13:40:00Z,6493,2025-08-29T14:16:00Z,6461.25,-476.25,-476.25,41.25,-476.25,41.25
,,3,2025-09-05T13:40:00Z,6536,2025-09-05T14:02:00Z,6519.25,251.25,-75,253.12,-75,253.12
,,3,2025-09-10T13:40:00Z,6548.75,2025-09-10T18:16:00Z,6536,191.25,-198.75,195,-198.75,195
,,3,2025-09-11T13:40:00Z,6555.5,2025-09-11T15:18:00Z,6589.25,-506.25,-506.25,33.75,-506.25,33.75
,,3,2025-09-15T13:40:00Z,6614,2025-09-15T19:58:00Z,6619.25,-78.75,-131.25,105,-131.25,105
,,3,2025-09-18T13:40:00Z,6627.25,2025-09-18T19:58:00Z,6637.25,-150,-461.25,170.62,-461.25,170.62
,,3,2025-09-22T13:40:00Z,6708,2025-09-22T13:55:00Z,6718.25,153.75,-22.5,157.5,-22.5,157.5
,,4,2025-09-26T13:40:00Z,6688,2025-09-26T14:23:00Z,6668.75,385,-237.5,390,-237.5,390
,,4,2025-09-29T13:40:00Z,6718,2025-09-29T17:04:00Z,6703.5,290,-232.5,292.5,-232.5,292.5
,,4,2025-10-02T13:40:00Z,6772.25,2025-10-02T14:12:00Z,6760,245,0,250,0,250
,,3,2025-10-03T13:40:00Z,6784.25,2025-10-03T17:47:00Z,6769,228.75,-228.75,232.5,-228.75,232.5
,,3,2025-10-06T13:40:00Z,6779.75,2025-10-06T14:02:00Z,6767.75,180,0,181.88,0,181.88
,,4,2025-10-10T13:40:00Z,6801.25,2025-10-10T14:18:00Z,6785.75,310,-85,315,-85,315
,,1,2025-11-19T14:40:00Z,6657,2025-11-19T20:58:00Z,6661,20,-159.38,252.5,-159.38,252.5
,,3,2025-12-11T14:40:00Z,6870,2025-12-11T17:17:00Z,6886.5,247.5,-455.62,251.25,-455.62,251.25
,,3,2025-12-12T14:40:00Z,6902.25,2025-12-12T15:22:00Z,6867.75,-517.5,-517.5,0,-517.5,0
,,3,2025-12-15T14:40:00Z,6849.75,2025-12-15T14:58:00Z,6838.5,168.75,-93.75,172.5,-93.75,172.5
,,3,2025-12-16T14:40:00Z,6807.75,2025-12-16T14:51:00Z,6819.75,180,-243.75,183.75,-243.75,183.75
,,3,2025-12-29T14:40:00Z,6963.75,2025-12-29T20:58:00Z,6952.75,-165,-395.62,0,-395.62,0
,,3,2026-01-02T14:40:00Z,6915.25,2026-01-02T15:22:00Z,6898.5,251.25,-339.38,253.12,-339.38,253.12
,,3,2026-01-05T14:40:00Z,6938.5,2026-01-05T20:58:00Z,6943.25,-71.25,-354.38,48.75,-354.38,48.75
,,4,2026-01-08T14:40:00Z,6950,2026-01-08T15:09:00Z,6962.5,250,-130,255,-130,255
,,4,2026-01-09T14:40:00Z,6983.75,2026-01-09T14:49:00Z,6971.25,250,-10,255,-10,255
,,4,2026-01-12T14:40:00Z,6990,2026-01-12T14:54:00Z,7000,200,-27.5,205,-27.5,205
,,4,2026-01-15T14:40:00Z,7003.25,2026-01-15T20:58:00Z,6980,465,-267.5,532.5,-267.5,532.5
,,4,2026-01-16T14:40:00Z,6996.75,2026-01-16T14:56:00Z,6985.5,225,-20,227.5,-20,227.5
,,3,2026-01-26T14:40:00Z,6970.5,2026-01-26T20:58:00Z,6981.5,-165,-361.88,0,-361.88,0
,,3,2026-01-28T14:40:00Z,7023.5,2026-01-28T15:15:00Z,7013.5,150,-106.88,153.75,-106.88,153.75
