"candidate","scenario","net_profit_pct","drawdown_pct","daily_loss_breaches","trailing_breaches","backtest_id","error"
"PF81_R1_A0_SAFE","STRESS_2020","-0.455","3.2","0","0","3b934ecd82d3d4a8f392cedc43cc9940",
"PF81_R1_A0_SAFE","FULL_2022_2026Q1","17.759","2.4","0","0","63caf7c59fa907e793fc6544f6dabd19",
"PF81_R1_A0_SAFE","OOS_2025_2026Q1","9.445","2.2","0","0","4b9e75354889d5785c5549c9e1accaa8",
"PF81_R2_A0_STRESS_LIGHT","STRESS_2020","-0.455","3.2","0","0","c1c52ecdc464137f5667b1daf82c7f1a",
"PF81_R2_A0_STRESS_LIGHT","FULL_2022_2026Q1","17.759","2.4","0","0","ce2b0cf651d67e78018fd16830c0ce91",
"PF81_R2_A0_STRESS_LIGHT","OOS_2025_2026Q1","9.445","2.2","0","0","f690b49468fd4dd2b494cbb32f82d314",
"PF81_R3_B1_LITE","STRESS_2020","-1.29","3.5","1","1","23ecf62aa50b639525f2a743b303feb8",
"PF81_R4_B1_DEF","STRESS_2020","-1.29","3.5","1","1","dd947ebdb4bb78d2ef176dc2930a987d",
"PF81_R5_BAL_MID","STRESS_2020","-1.439","3.5","0","1","33ff4a88a61ad7080975cf0769f8ce53",
"PF81_R6_RET_MID","STRESS_2020","-1.057","3.5","1","1","f743f0d3f2ab755708e19b0bdc6da74a",
"PF81_R7_RET_HI","STRESS_2020","-2.361","3.5","1","1","f659cc2daed91845afd261be08b8f5af",
"PF81_R8_STRESS_LONG","STRESS_2020","-1.057","3.5","1","1","90ef47cebc80eb31089abf8650e9f066",
"PF80_EOD_A1","STRESS_2020","-0.455","3.2","0","0","29e559c3b9f71ef408aa83b71d735c1a",
"PF80_EOD_A1","FULL_2022_2026Q1","17.759","2.4","0","0","f05d49bcb0e8ecdcfc5aebf447e35d2b",
"PF80_EOD_A1","OOS_2025_2026Q1","9.445","2.2","0","0","3adbae1bb59e137684cfd9fc031aa0f2",
"PF80_EOD_A2","STRESS_2020","-1.29","3.5","1","1","b5e7518865874c3c10b8851bc1b1d7a9",
"PF80_EOD_A3","STRESS_2020","-0.684","3.5","1","1","4a556ff16c05a781e9eb9baffdc32334",
"PF80_EOD_A4","STRESS_2020","-2.086","3.5","1","1","b44ddb731c6f6db64139141b24529e65",
"PF80_EOD_A5","STRESS_2020","-1.902","3.6","1","1","dadf81c17b17cd7adda989168c798b87",
"PF80_EOD_A6","STRESS_2020","-1.581","3.6","1","1","8f9b697a5fb42d66c6c5dcf46b3cbb04",
"PF80_EOD_B1","STRESS_2020","-0.024","3.6","1","1","fb2ab9cc1b74bf0c38712e89c95b6eca",
"PF80_EOD_B2","STRESS_2020","0.557","3.7","1","1","11dbcb6ffe981cfe268cf005bda4962d",
"PF80_EOD_C1","STRESS_2020","0.519","3.5","1","1","855efe8c4a41c8807835b25d32657cea",
"PF80_EOD_C2","STRESS_2020","1.784","3.6","1","1","709c9813569cbb2a35f56dc251422429",
