candidate,source_file,STRESS_2020_np,STRESS_2020_dd,STRESS_2020_dbr,STRESS_2020_tbr,STRESS_2020_mmean,STRESS_2020_mmed,STRESS_2020_id,FULL_2022_2026Q1_np,FULL_2022_2026Q1_dd,FULL_2022_2026Q1_dbr,FULL_2022_2026Q1_tbr,FULL_2022_2026Q1_mmean,FULL_2022_2026Q1_mmed,FULL_2022_2026Q1_id,OOS_2025_2026Q1_np,OOS_2025_2026Q1_dd,OOS_2025_2026Q1_dbr,OOS_2025_2026Q1_tbr,OOS_2025_2026Q1_mmean,OOS_2025_2026Q1_mmed,OOS_2025_2026Q1_id
PF100_B1_BALANCED,pf100_stage1_results.json,-1.672,3.5,0,1,-0.495,-0.63,45375f14d730169ed152b5021f38c4d9,,,,,,,,,,,,,,
PF100_B2_MOMENTUM,pf100_stage1_results.json,-1.658,3.5,0,1,-0.144,-0.092,730c1004b23fd3186494e48ae5da72bf,,,,,,,,,,,,,,
PF100_B3_DEFENSIVE,pf100_stage1_results.json,-0.197,3.2,0,0,0.003,-0.083,86949213650362329a6296b5ef986642,10.614,2.7,0,0,0.298,-0.077,598e053df57fb4324cc44b0bbeffeb5d,5.345,2.2,0,0,0.474,-0.383,5931441f8893eec15257861b4c2ce7b8
PF100_B4_LONG_BIAS,pf100_stage1_results.json,0.146,3.2,0,0,0.039,0.03,72fef527a5b3e3c10290db8d0c97da80,18.96,2.4,0,0,0.598,0.251,0692efba8f28b424c9fa4cfad627458f,,,,,,,b2df4ffd8320be16ada53fd0eb35635e
PF100_B5_HIGHER_RISK,pf100_stage1_results.json,-1.719,3.6,0,1,-0.508,-0.384,130d4e059f3d9778724e8b086060215a,,,,,,,,,,,,,,
PF100_C1_BASELINE,pf100_stage2_opt_results.json,0.146,3.2,0,0,0.039,0.03,3defd1c25c2af7066fdce292c678b93d,18.96,2.4,0,0,0.598,0.251,6fe6f64a6eda6a844e5c49f56a4d61c8,12.029,2.2,0,0,1.316,0.682,1c2e8774fe157ffe0be5af50b85a699c
PF100_C2_MORE_STRESS,pf100_stage2_opt_results.json,-1.376,3.1,0,0,-0.12,-0.133,787b8bba3b1f41665dad4c4aff47f630,,,,,,,,,,,,,,
PF100_C3_DEFENSIVE_GATE,pf100_stage2_opt_results.json,-0.311,3.2,0,0,-0.01,-0.097,ec82f505c0b40f5882175e409ebe332d,,,,,,,,,,,,,,
PF100_C4_CORE_RISK_UP,pf100_stage2_opt_results.json,-1.439,3.5,0,1,-1.314,-1.314,1c5ec3f41fe1b57c39249acb6c13b7aa,,,,,,,,,,,,,,
PF100_C5_CORE_RISK_UP_MORE,pf100_stage2_opt_results.json,-1.29,3.5,1,1,-1.16,-1.16,7c4bfcd114042df66db3b8c99bceb1d2,,,,,,,,,,,,,,
