"Root","FullName","Directory","Name","Extension","LengthBytes","LastWriteTime","CreationTime","Depth"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_add_risk_meta_tables.py","C:\AI_VAULT\00_identity","_add_risk_meta_tables.py",".py","879","2/18/2026 7:32:48 PM","2/18/2026 7:32:48 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_db_probe.py","C:\AI_VAULT\00_identity","_db_probe.py",".py","576","2/18/2026 7:14:23 PM","2/18/2026 7:14:23 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_rag_indexer.py","C:\AI_VAULT\00_identity","_rag_indexer.py",".py","2249","2/18/2026 7:17:11 PM","2/18/2026 7:17:11 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_rag_init.py","C:\AI_VAULT\00_identity","_rag_init.py",".py","747","2/18/2026 7:17:11 PM","2/18/2026 7:17:11 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_who_handles_mission.py","C:\AI_VAULT\00_identity","_who_handles_mission.py",".py","1346","2/25/2026 5:48:51 PM","2/25/2026 5:48:51 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\_who_handles_plan.py","C:\AI_VAULT\00_identity","_who_handles_plan.py",".py","2764","2/25/2026 6:05:45 PM","2/25/2026 6:05:45 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\$null","C:\AI_VAULT\00_identity","$null","","0","2/19/2026 4:05:23 PM","2/19/2026 4:03:25 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\$RUN","C:\AI_VAULT\00_identity","$RUN","","854","2/19/2026 4:03:25 PM","2/19/2026 4:03:25 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py","C:\AI_VAULT\00_identity","agent_loop.py",".py","16342","2/26/2026 10:06:35 AM","2/25/2026 2:44:44 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.bak_20260225_172528","C:\AI_VAULT\00_identity","agent_loop.py.bak_20260225_172528",".bak_20260225_172528","10250","2/25/2026 3:34:11 PM","2/25/2026 5:25:28 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_212107","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_212107",".BAK_20260225_212107","10250","2/25/2026 3:34:11 PM","2/25/2026 9:21:07 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_220350","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_220350",".BAK_20260225_220350","10894","2/25/2026 9:21:08 PM","2/25/2026 10:03:50 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_220645","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_220645",".BAK_20260225_220645","10894","2/25/2026 9:21:08 PM","2/25/2026 10:06:45 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_221018","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_221018",".BAK_20260225_221018","10894","2/25/2026 9:21:08 PM","2/25/2026 10:10:18 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_221359","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_221359",".BAK_20260225_221359","10894","2/25/2026 9:21:08 PM","2/25/2026 10:13:59 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260225_221805","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260225_221805",".BAK_20260225_221805","11579","2/25/2026 10:13:59 PM","2/25/2026 10:18:05 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_093705","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_093705",".BAK_20260226_093705","11579","2/25/2026 10:13:59 PM","2/26/2026 9:37:05 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_094107","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_094107",".BAK_20260226_094107","11579","2/25/2026 10:13:59 PM","2/26/2026 9:41:07 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_094737","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_094737",".BAK_20260226_094737","10894","2/25/2026 9:21:08 PM","2/26/2026 9:47:37 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_095310","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_095310",".BAK_20260226_095310","13575","2/26/2026 9:47:37 AM","2/26/2026 9:53:10 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_095932","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_095932",".BAK_20260226_095932","15318","2/26/2026 9:53:11 AM","2/26/2026 9:59:32 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_100311","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_100311",".BAK_20260226_100311","15318","2/26/2026 9:53:11 AM","2/26/2026 10:03:11 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_100634","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_100634",".BAK_20260226_100634","15318","2/26/2026 9:53:11 AM","2/26/2026 10:06:34 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.BAK_20260226_100644","C:\AI_VAULT\00_identity","agent_loop.py.BAK_20260226_100644",".BAK_20260226_100644","16342","2/26/2026 10:06:35 AM","2/26/2026 10:06:44 AM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.bak_missionid_uuid_20260225_153407","C:\AI_VAULT\00_identity","agent_loop.py.bak_missionid_uuid_20260225_153407",".bak_missionid_uuid_20260225_153407","10230","2/25/2026 3:18:15 PM","2/25/2026 3:34:07 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.bak_roomaware_20260225_151756","C:\AI_VAULT\00_identity","agent_loop.py.bak_roomaware_20260225_151756",".bak_roomaware_20260225_151756","10143","2/25/2026 3:12:27 PM","2/25/2026 3:17:56 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.bak_roomaware_20260225_151815","C:\AI_VAULT\00_identity","agent_loop.py.bak_roomaware_20260225_151815",".bak_roomaware_20260225_151815","10228","2/25/2026 3:17:56 PM","2/25/2026 3:18:15 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_loop.py.bak_state_root_20260225_151227","C:\AI_VAULT\00_identity","agent_loop.py.bak_state_root_20260225_151227",".bak_state_root_20260225_151227","9778","2/25/2026 2:44:44 PM","2/25/2026 3:12:27 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_state.py.BAK_20260225_192915","C:\AI_VAULT\00_identity","agent_state.py.BAK_20260225_192915",".BAK_20260225_192915","2839","2/23/2026 8:03:25 PM","2/25/2026 7:29:16 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_state.py.BAK_20260225_193519","C:\AI_VAULT\00_identity","agent_state.py.BAK_20260225_193519",".BAK_20260225_193519","2967","2/25/2026 7:29:16 PM","2/25/2026 7:35:19 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_state.py.BAK_20260225_193837","C:\AI_VAULT\00_identity","agent_state.py.BAK_20260225_193837",".BAK_20260225_193837","2967","2/25/2026 7:29:16 PM","2/25/2026 7:38:37 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\agent_state.SHADOW_BAK.py","C:\AI_VAULT\00_identity","agent_state.SHADOW_BAK.py",".py","2967","2/25/2026 7:29:16 PM","2/23/2026 6:58:51 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\AI_LOCAL_DIAGNOSTIC.ps1","C:\AI_VAULT\00_identity","AI_LOCAL_DIAGNOSTIC.ps1",".ps1","2120","2/18/2026 7:05:25 PM","2/18/2026 7:05:25 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\approval_gate.py","C:\AI_VAULT\00_identity","approval_gate.py",".py","1933","2/24/2026 5:14:20 PM","2/24/2026 5:14:20 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py","C:\AI_VAULT\00_identity","brain_router.py",".py","60623","2/26/2026 2:46:01 PM","2/18/2026 6:20:37 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_20260225_172953","C:\AI_VAULT\00_identity","brain_router.py.bak_20260225_172953",".bak_20260225_172953","41664","2/24/2026 5:17:43 PM","2/25/2026 5:29:53 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_192457","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_192457",".BAK_20260225_192457","51818","2/25/2026 6:02:45 PM","2/25/2026 7:24:57 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_192506","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_192506",".BAK_20260225_192506","52463","2/25/2026 7:24:57 PM","2/25/2026 7:25:06 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_194557","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_194557",".BAK_20260225_194557","51818","2/25/2026 6:02:45 PM","2/25/2026 7:45:57 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_212436","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_212436",".BAK_20260225_212436","53289","2/25/2026 7:45:58 PM","2/25/2026 9:24:37 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_213146","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_213146",".BAK_20260225_213146","54775","2/25/2026 9:24:37 PM","2/25/2026 9:31:46 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_213359","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_213359",".BAK_20260225_213359","55473","2/25/2026 9:31:46 PM","2/25/2026 9:33:59 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_213717","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_213717",".BAK_20260225_213717","55472","2/25/2026 9:33:59 PM","2/25/2026 9:37:17 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_213917","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_213917",".BAK_20260225_213917","56609","2/25/2026 9:37:17 PM","2/25/2026 9:39:17 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_214210","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_214210",".BAK_20260225_214210","56609","2/25/2026 9:37:17 PM","2/25/2026 9:42:10 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_214551","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_214551",".BAK_20260225_214551","56634","2/25/2026 9:42:10 PM","2/25/2026 9:45:51 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_215330","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_215330",".BAK_20260225_215330","56827","2/25/2026 9:45:51 PM","2/25/2026 9:53:30 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_215419","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_215419",".BAK_20260225_215419","56827","2/25/2026 9:45:51 PM","2/25/2026 9:54:19 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_215811","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_215811",".BAK_20260225_215811","56827","2/25/2026 9:54:19 PM","2/25/2026 9:58:11 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.BAK_20260225_220116","C:\AI_VAULT\00_identity","brain_router.py.BAK_20260225_220116",".BAK_20260225_220116","58068","2/25/2026 9:58:12 PM","2/25/2026 10:01:16 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fix_mission_endpoint_20260225_173755","C:\AI_VAULT\00_identity","brain_router.py.bak_fix_mission_endpoint_20260225_173755",".bak_fix_mission_endpoint_20260225_173755","42646","2/25/2026 5:36:34 PM","2/25/2026 5:37:55 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fix_plan_endpoint_20260225_173633","C:\AI_VAULT\00_identity","brain_router.py.bak_fix_plan_endpoint_20260225_173633",".bak_fix_plan_endpoint_20260225_173633","42215","2/25/2026 5:32:36 PM","2/25/2026 5:36:33 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fix_plan_reset_hard_v3_20260225_180243","C:\AI_VAULT\00_identity","brain_router.py.bak_fix_plan_reset_hard_v3_20260225_180243",".bak_fix_plan_reset_hard_v3_20260225_180243","48562","2/25/2026 5:59:16 PM","2/25/2026 6:02:43 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fix_plan_reset_on_stale_20260225_175904","C:\AI_VAULT\00_identity","brain_router.py.bak_fix_plan_reset_on_stale_20260225_175904",".bak_fix_plan_reset_on_stale_20260225_175904","48298","2/25/2026 5:57:28 PM","2/25/2026 5:59:04 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fix_plan_reset_on_stale_20260225_175915","C:\AI_VAULT\00_identity","brain_router.py.bak_fix_plan_reset_on_stale_20260225_175915",".bak_fix_plan_reset_on_stale_20260225_175915","48562","2/25/2026 5:59:06 PM","2/25/2026 5:59:15 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_fixsync_20260225_173231","C:\AI_VAULT\00_identity","brain_router.py.bak_fixsync_20260225_173231",".bak_fixsync_20260225_173231","42211","2/25/2026 5:30:06 PM","2/25/2026 5:32:31 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_persist_20260226_174618","C:\AI_VAULT\00_identity","brain_router.py.bak_persist_20260226_174618",".bak_persist_20260226_174618","60623","2/26/2026 2:46:01 PM","2/26/2026 5:46:18 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_persist_v2_20260226_174814","C:\AI_VAULT\00_identity","brain_router.py.bak_persist_v2_20260226_174814",".bak_persist_v2_20260226_174814","61450","2/26/2026 5:46:19 PM","2/26/2026 5:48:14 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_reset_plan_on_new_mission_20260225_175410","C:\AI_VAULT\00_identity","brain_router.py.bak_reset_plan_on_new_mission_20260225_175410",".bak_reset_plan_on_new_mission_20260225_175410","47204","2/25/2026 5:52:44 PM","2/25/2026 5:54:10 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_reset_plan_on_new_mission_regex_20260225_175551","C:\AI_VAULT\00_identity","brain_router.py.bak_reset_plan_on_new_mission_regex_20260225_175551",".bak_reset_plan_on_new_mission_regex_20260225_175551","47204","2/25/2026 5:52:44 PM","2/25/2026 5:55:51 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_reset_plan_on_read_mismatch_20260225_175727","C:\AI_VAULT\00_identity","brain_router.py.bak_reset_plan_on_read_mismatch_20260225_175727",".bak_reset_plan_on_read_mismatch_20260225_175727","47517","2/25/2026 5:55:52 PM","2/25/2026 5:57:27 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_scan_20260226_174607","C:\AI_VAULT\00_identity","brain_router.py.bak_scan_20260226_174607",".bak_scan_20260226_174607","60623","2/26/2026 2:46:01 PM","2/26/2026 5:46:07 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_step_execute_persist_v3_20260226_175014","C:\AI_VAULT\00_identity","brain_router.py.bak_step_execute_persist_v3_20260226_175014",".bak_step_execute_persist_v3_20260226_175014","64340","2/26/2026 5:48:15 PM","2/26/2026 5:50:15 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_step_execute_persist_v3_20260226_175132","C:\AI_VAULT\00_identity","brain_router.py.bak_step_execute_persist_v3_20260226_175132",".bak_step_execute_persist_v3_20260226_175132","64542","2/26/2026 5:50:16 PM","2/26/2026 5:51:32 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_sync_plan_mission_20260225_175242","C:\AI_VAULT\00_identity","brain_router.py.bak_sync_plan_mission_20260225_175242",".bak_sync_plan_mission_20260225_175242","44215","2/25/2026 5:40:51 PM","2/25/2026 5:52:42 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.bak_unify_mission_v2_20260225_174049","C:\AI_VAULT\00_identity","brain_router.py.bak_unify_mission_v2_20260225_174049",".bak_unify_mission_v2_20260225_174049","43061","2/25/2026 5:37:56 PM","2/25/2026 5:40:49 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_router.py.pre_phase3_20260224.bak","C:\AI_VAULT\00_identity","brain_router.py.pre_phase3_20260224.bak",".bak","40076","2/24/2026 3:20:12 PM","2/24/2026 4:38:37 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py","C:\AI_VAULT\00_identity","brain_server.py",".py","81894","2/26/2026 6:27:59 PM","2/22/2026 8:02:57 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_20260225_171052","C:\AI_VAULT\00_identity","brain_server.py.bak_20260225_171052",".bak_20260225_171052","43766","2/25/2026 5:01:27 PM","2/25/2026 5:10:52 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_20260225_172527","C:\AI_VAULT\00_identity","brain_server.py.bak_20260225_172527",".bak_20260225_172527","46854","2/25/2026 5:15:49 PM","2/25/2026 5:25:27 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.BAK_20260225_191738","C:\AI_VAULT\00_identity","brain_server.py.BAK_20260225_191738",".BAK_20260225_191738","46861","2/25/2026 6:20:34 PM","2/25/2026 7:17:38 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.BAK_20260225_192011","C:\AI_VAULT\00_identity","brain_server.py.BAK_20260225_192011",".BAK_20260225_192011","46861","2/25/2026 6:20:34 PM","2/25/2026 7:20:11 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_agent_endpoints_20260225_144444","C:\AI_VAULT\00_identity","brain_server.py.bak_agent_endpoints_20260225_144444",".bak_agent_endpoints_20260225_144444","957","2/24/2026 9:34:11 AM","2/25/2026 2:44:44 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_autopersist_20260226_181105","C:\AI_VAULT\00_identity","brain_server.py.bak_autopersist_20260226_181105",".bak_autopersist_20260226_181105","79406","2/26/2026 5:15:29 PM","2/26/2026 6:11:05 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_autopersist_hook_20260226_181225","C:\AI_VAULT\00_identity","brain_server.py.bak_autopersist_hook_20260226_181225",".bak_autopersist_hook_20260226_181225","80578","2/26/2026 6:11:07 PM","2/26/2026 6:12:25 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_capabilities_20260225_150552","C:\AI_VAULT\00_identity","brain_server.py.bak_capabilities_20260225_150552",".bak_capabilities_20260225_150552","4654","2/25/2026 2:56:39 PM","2/25/2026 3:05:52 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_dedupe_risk_20260225_161509","C:\AI_VAULT\00_identity","brain_server.py.bak_dedupe_risk_20260225_161509",".bak_dedupe_risk_20260225_161509","33244","2/25/2026 4:10:47 PM","2/25/2026 4:15:09 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_disable_plan_post_20260225_182032","C:\AI_VAULT\00_identity","brain_server.py.bak_disable_plan_post_20260225_182032",".bak_disable_plan_post_20260225_182032","46854","2/25/2026 5:15:49 PM","2/25/2026 6:20:32 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_enforce_riskgate_20260225_161046","C:\AI_VAULT\00_identity","brain_server.py.bak_enforce_riskgate_20260225_161046",".bak_enforce_riskgate_20260225_161046","8880","2/25/2026 4:02:30 PM","2/25/2026 4:10:46 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_execstep_aliasfix_20260226_182758","C:\AI_VAULT\00_identity","brain_server.py.bak_execstep_aliasfix_20260226_182758",".bak_execstep_aliasfix_20260226_182758","81671","2/26/2026 6:18:37 PM","2/26/2026 6:27:58 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_execute_20260226_171529","C:\AI_VAULT\00_identity","brain_server.py.bak_execute_20260226_171529",".bak_execute_20260226_171529","74713","2/26/2026 5:13:11 PM","2/26/2026 5:15:29 PM","1"
"C:\AI_VAULT\00_identity","C:\AI_VAULT\00_identity\brain_server.py.bak_fix__Dict_20260225_155555","C:\AI_VAULT\00_identity","brain_server.py.bak_fix__Dict_20260225_155555",".bak_fix__Dict_20260225_155555","9083","2/25/2026 3:52:28 PM","2/25/2026 3:55:55 PM","1"
