Date,Open,High,Low,Close,Volume,average,barCount
2025-03-04,205.9,209.77,203.19,206.42,37037067.0,205.942,188557
2025-03-05,206.45,208.84,204.82,208.47,24476174.0,207.129,121205
2025-03-06,205.78,208.12,203.9,205.28,27565949.0,205.816,146665
2025-03-07,204.97,207.11,201.73,205.95,28181155.0,204.858,128077
2025-03-10,203.44,204.74,198.75,200.77,26863937.0,201.731,127144
2025-03-11,201.11,203.22,198.53,200.75,33380920.0,200.877,162345
2025-03-12,203.06,203.75,199.55,201.1,24877794.0,201.396,121511
2025-03-13,201.31,202.03,197.0,198.1,22426658.0,199.109,110996
2025-03-14,200.26,203.07,199.34,202.89,21353900.0,201.81,108962
2025-03-17,202.71,206.02,202.6,205.45,15939788.0,204.758,83646
2025-03-18,203.85,203.92,202.34,203.21,13169539.0,203.129,68755
2025-03-19,203.35,207.68,202.9,206.37,20900861.0,205.31,96525
2025-03-20,204.32,207.3,204.19,205.06,16358361.0,205.899,84775
2025-03-21,202.76,204.42,201.76,203.79,23050851.0,203.367,120703
2025-03-24,206.99,209.23,206.69,208.86,17920891.0,208.229,92255
2025-03-25,208.68,209.27,207.09,207.7,11984512.0,208.136,55953
2025-03-26,207.96,208.82,204.68,205.59,12620190.0,206.17,61819
2025-03-27,205.36,206.35,203.76,204.61,14614912.0,205.091,73763
2025-03-28,204.51,204.58,199.38,200.45,16810232.0,201.017,85502
2025-03-31,197.47,200.64,195.49,199.49,19527009.0,198.443,98025
2025-04-01,198.99,201.23,196.66,199.51,18491421.0,198.981,88215
2025-04-02,196.8,203.33,196.54,202.66,20041423.0,201.216,94901
2025-04-03,193.07,195.06,189.2,189.65,36649558.0,191.357,180510
2025-04-04,182.55,184.05,176.67,181.19,62361656.0,180.899,335468
2025-04-07,174.32,190.25,171.73,179.55,75942666.0,179.489,393034
2025-04-08,185.69,185.92,172.34,174.82,46225780.0,178.935,270017
2025-04-09,172.72,192.11,171.74,189.68,94015539.0,182.625,505854
2025-04-10,184.56,185.48,176.98,181.71,48480807.0,181.528,277157
2025-04-11,181.14,184.85,178.58,184.36,30384188.0,181.919,176779
2025-04-14,187.82,187.97,183.05,186.53,23120464.0,185.827,136800
2025-04-15,186.34,189.05,185.84,186.76,18988680.0,187.124,107467
2025-04-16,185.72,186.73,182.56,184.97,19885018.0,184.74,109148
2025-04-17,184.99,187.43,184.46,186.48,24125615.0,186.11,124879
2025-04-21,185.0,185.29,180.76,182.74,17383879.0,182.533,86340
2025-04-22,185.16,188.1,184.55,187.47,23458046.0,186.578,116633
2025-04-23,192.96,195.51,189.84,190.25,29129878.0,192.469,150510
2025-04-24,190.76,194.37,189.89,194.06,16980044.0,192.802,80549
2025-04-25,192.69,194.26,191.55,194.12,16509288.0,193.124,79157
2025-04-28,194.49,196.15,192.53,194.94,14875511.0,194.368,70937
2025-04-29,194.45,196.86,193.01,196.09,13145432.0,195.349,62870
2025-04-30,193.14,195.48,190.72,194.86,18107489.0,193.447,84791
2025-05-01,195.69,197.67,193.74,196.07,21319527.0,196.267,113360
2025-05-02,198.32,201.21,198.17,200.48,19109382.0,200.227,102277
2025-05-05,198.57,200.5,198.08,198.94,13211139.0,199.515,65110
2025-05-06,196.57,198.59,195.64,196.77,16735176.0,197.19,73694
2025-05-07,198.1,198.56,196.04,197.42,14536501.0,197.449,74907
2025-05-08,199.77,202.74,198.26,201.18,21603291.0,201.035,101887
2025-05-09,201.51,202.28,199.96,200.81,11341768.0,200.991,52639
2025-05-12,208.88,209.73,205.82,207.87,24655093.0,207.872,123944
2025-05-13,208.97,209.61,207.96,208.63,19047614.0,208.939,102460
2025-05-14,208.03,208.54,206.53,206.78,17467055.0,207.392,98812
2025-05-15,206.58,208.19,205.39,208.13,14921794.0,207.118,87137
2025-05-16,208.45,210.13,207.78,209.85,16787136.0,209.03,96257
2025-05-19,206.8,209.09,206.26,208.97,17154329.0,208.083,91420
2025-05-20,208.66,209.76,207.96,209.08,14566686.0,208.897,84119
2025-05-21,206.6,207.61,202.84,203.21,26350764.0,205.095,156709
2025-05-22,202.26,204.37,201.53,203.2,22972139.0,203.116,139198
2025-05-23,199.76,203.26,199.65,202.56,18803397.0,202.083,118756
2025-05-27,205.64,207.75,204.16,207.7,20369586.0,206.507,113160
2025-05-28,207.71,208.03,205.2,205.51,20035099.0,206.234,110021
2025-05-29,206.95,207.06,204.47,206.12,24499886.0,205.736,127272
2025-05-30,205.14,206.25,203.54,205.07,27409069.0,205.144,140684
2025-06-02,205.32,205.84,202.67,205.71,22519039.0,204.914,120911
2025-06-03,206.46,209.61,205.55,209.03,25589177.0,208.358,133321
2025-06-04,209.16,210.01,208.14,208.44,20495391.0,208.866,106501
2025-06-05,208.69,209.83,207.0,208.53,26177990.0,208.605,149099
2025-06-06,211.5,212.13,210.6,211.9,24224905.0,211.434,130400
2025-06-09,213.87,214.28,212.55,213.36,25346649.0,213.367,132463
2025-06-10,214.46,215.43,213.81,214.51,20291724.0,214.596,111096
2025-06-11,215.58,215.93,213.3,213.63,22384999.0,214.647,122257
2025-06-12,212.16,213.27,211.63,212.78,18316097.0,212.493,100607
