Date,Open,High,Low,Close,Volume,average,barCount
2025-03-04,494.18,503.74,487.73,495.55,43158562.0,494.674,272512
2025-03-05,496.2,503.63,491.26,502.01,29919124.0,497.898,168711
2025-03-06,493.69,498.58,486.2,488.2,36455855.0,491.478,217085
2025-03-07,487.16,493.28,480.53,491.79,37380404.0,487.693,217740
2025-03-10,483.47,483.97,468.66,472.73,45997391.0,475.439,283497
2025-03-11,472.35,478.81,467.01,471.6,47057557.0,472.982,267738
2025-03-12,479.15,481.06,471.79,476.92,29429872.0,477.277,170886
2025-03-13,476.24,476.29,466.43,468.34,27649955.0,470.618,161099
2025-03-14,473.74,480.56,473.12,479.66,26209332.0,477.533,141021
2025-03-17,479.6,485.84,477.8,482.77,26639867.0,482.219,145685
2025-03-18,479.41,479.61,472.41,474.54,21461082.0,474.93,128060
2025-03-19,476.81,485.33,474.87,480.89,26027993.0,479.991,151625
2025-03-20,476.89,484.55,476.18,479.26,23342039.0,480.282,126104
2025-03-21,474.09,481.61,472.9,480.84,24527905.0,477.442,145418
2025-03-24,487.74,491.51,487.12,490.66,21482015.0,489.781,116602
2025-03-25,491.39,493.62,490.42,493.46,16169128.0,492.296,79748
2025-03-26,492.3,493.16,482.82,484.38,22849451.0,486.647,116125
2025-03-27,482.41,486.58,480.25,481.62,21790710.0,483.324,108957
2025-03-28,479.81,480.52,468.05,468.94,30119812.0,472.186,151416
2025-03-31,461.92,469.86,457.33,468.92,32966957.0,463.675,182263
2025-04-01,467.3,473.63,464.42,472.7,26990973.0,469.814,134101
2025-04-02,466.12,479.56,465.86,476.15,26373014.0,474.318,123083
2025-04-03,456.44,460.07,450.14,450.66,43994122.0,454.973,238387
2025-04-04,438.14,440.37,422.67,422.67,74708918.0,431.028,475190
2025-04-07,408.66,443.14,402.39,423.69,115858417.0,421.336,769914
2025-04-08,438.11,443.14,409.79,416.06,66266838.0,428.651,369351
2025-04-09,415.49,467.83,415.43,466.0,94504867.0,443.116,562464
2025-04-10,453.64,455.59,432.63,446.18,68416906.0,445.407,396560
2025-04-11,444.65,455.79,441.33,454.4,35061318.0,450.128,209912
2025-04-14,464.46,465.05,452.63,457.48,27382228.0,458.858,149256
2025-04-15,458.54,462.38,456.15,457.99,21833728.0,459.129,116612
2025-04-16,449.01,452.62,437.76,444.18,30687351.0,445.156,166019
2025-04-17,447.17,447.75,441.36,444.1,25701475.0,444.858,148258
2025-04-21,438.23,439.08,427.93,433.11,25603865.0,431.965,124357
2025-04-22,438.82,447.58,437.62,444.48,32472918.0,443.016,167557
2025-04-23,458.17,463.38,452.88,454.56,35175254.0,458.008,195647
2025-04-24,456.48,467.66,455.83,467.35,27161495.0,463.792,134982
2025-04-25,466.97,473.09,465.39,472.56,25189001.0,469.777,130511
2025-04-28,473.01,474.81,466.03,472.41,20593222.0,470.282,98688
2025-04-29,470.09,476.43,469.59,475.53,20338159.0,473.873,94785
2025-04-30,467.13,477.2,462.43,475.47,27173820.0,469.562,134521
2025-05-01,483.41,487.18,480.74,481.68,26016492.0,483.846,133252
2025-05-02,486.54,490.91,484.83,488.83,24267175.0,488.681,120626
2025-05-05,484.6,489.03,484.1,485.93,16124657.0,486.676,87597
2025-05-06,479.56,485.05,478.19,481.41,20304184.0,481.745,96875
2025-05-07,482.08,485.8,476.78,483.3,23747715.0,481.14,127698
2025-05-08,488.53,492.7,484.17,488.29,25612010.0,489.621,121930
2025-05-09,490.21,491.54,486.19,487.97,16701123.0,488.441,79309
2025-05-12,507.0,507.89,501.48,507.85,25257926.0,505.262,130399
2025-05-13,509.19,517.39,508.42,515.59,34682849.0,514.93,192591
2025-05-14,516.75,519.23,515.75,518.68,31087780.0,517.651,181837
2025-05-15,516.52,521.93,515.17,519.25,31628020.0,518.52,187853
2025-05-16,520.69,521.7,517.1,521.51,27019975.0,520.028,162143
2025-05-19,514.3,522.53,514.24,522.01,29002744.0,519.807,167416
2025-05-20,519.46,520.93,516.66,520.27,25439566.0,519.283,159839
2025-05-21,516.29,523.0,511.24,513.04,50725300.0,517.076,310660
2025-05-22,513.67,517.71,512.3,514.0,36748353.0,515.521,235409
2025-05-23,506.2,511.84,505.58,509.24,35695531.0,509.042,225674
2025-05-27,516.15,521.71,514.59,521.22,32539987.0,519.461,201089
2025-05-28,522.18,523.68,518.39,518.91,28022930.0,521.076,186309
2025-05-29,526.32,526.48,517.32,519.93,38819480.0,520.696,256088
2025-05-30,519.44,520.68,511.93,519.11,43267169.0,517.186,286428
2025-06-02,517.27,523.45,515.97,523.21,29130636.0,520.45,189412
2025-06-03,523.58,528.74,522.69,527.3,29680295.0,526.515,185299
2025-06-04,528.02,529.84,525.96,528.77,26500556.0,528.753,161128
2025-06-05,530.18,533.05,522.66,524.79,38659696.0,528.275,243715
2025-06-06,530.0,531.8,528.21,529.92,27632140.0,530.379,181226
2025-06-09,530.14,532.35,529.01,530.7,22789489.0,531.211,128173
2025-06-10,531.17,534.9,528.89,534.21,29565611.0,532.458,164795
2025-06-11,535.63,536.78,530.11,532.41,36604204.0,533.694,219008
2025-06-12,531.07,534.65,530.84,533.66,22332522.0,533.284,144962
2025-06-13,527.67,531.87,525.73,526.96,36739379.0,528.526,245299
2025-06-16,530.51,535.37,530.45,534.29,23028795.0,533.907,142785
2025-06-17,531.71,533.33,527.91,529.08,27437050.0,530.799,184243
2025-06-18,530.1,532.55,527.4,528.99,29412149.0,530.362,191761
2025-06-20,532.26,533.56,524.89,526.83,33553336.0,527.827,219086
2025-06-23,526.82,532.17,523.65,531.65,33935045.0,528.986,219363
2025-06-24,536.9,540.7,536.27,539.78,27858805.0,538.891,161130
2025-06-25,542.06,543.31,539.38,541.16,27378583.0,541.325,186184
2025-06-26,543.36,546.67,541.52,546.22,23408620.0,544.678,151681
2025-06-27,547.26,549.99,544.54,548.09,33822647.0,547.832,212968
2025-06-30,551.26,552.8,549.01,551.64,27140057.0,550.658,176235
2025-07-01,549.73,550.71,544.66,546.99,36098729.0,547.573,234652
2025-07-02,546.16,551.0,546.12,550.8,24334026.0,549.656,146009
2025-07-03,553.18,557.2,553.18,556.22,16051069.0,555.66,100407
2025-07-07,553.52,554.34,549.58,552.03,30517232.0,552.194,199418
2025-07-08,553.38,554.01,551.1,552.34,24533870.0,552.578,156349
2025-07-09,554.46,557.63,553.1,556.25,29823629.0,555.267,185955
2025-07-10,556.89,557.3,552.75,555.45,22265391.0,555.046,141649
2025-07-11,553.3,555.79,552.05,554.2,25970079.0,554.553,162848
2025-07-14,554.04,556.95,551.63,556.21,24521517.0,555.231,149698
2025-07-15,560.26,560.8,556.66,556.72,28545936.0,558.754,179288
2025-07-16,557.28,557.94,551.56,557.29,34242359.0,555.551,213368
2025-07-17,557.99,562.31,557.21,561.8,25633457.0,560.828,158915
2025-07-18,563.12,563.32,559.98,561.26,23963453.0,561.182,146882
2025-07-21,562.09,566.06,562.06,564.17,24519315.0,565.007,143012
2025-07-22,564.31,564.36,558.61,561.25,28780735.0,561.04,190464
2025-07-23,562.34,563.84,559.58,563.81,25663409.0,561.759,158733
2025-07-24,565.13,566.24,563.29,565.01,26916340.0,565.223,166587
2025-07-25,564.93,567.7,564.27,566.37,19227052.0,566.291,104947
2025-07-28,567.74,569.04,566.87,568.14,20828547.0,567.978,125226
2025-07-29,570.77,572.11,566.53,567.26,29358640.0,568.718,176089
2025-07-30,568.18,570.62,565.05,568.02,28509117.0,567.968,180947
2025-07-31,574.54,574.63,563.87,565.01,39923395.0,568.859,267491
2025-08-01,558.85,559.02,551.7,553.88,44397535.0,554.874,301729
2025-08-04,559.05,564.32,558.95,564.1,30208158.0,562.594,191705
2025-08-05,565.39,566.57,559.73,560.27,30693967.0,562.109,207462
2025-08-06,561.11,567.76,560.63,567.32,27105925.0,564.872,184321
2025-08-07,571.67,573.32,565.11,569.24,29841509.0,569.136,215575
2025-08-08,570.43,574.77,570.15,574.55,23323426.0,573.478,150415
2025-08-11,574.68,576.8,571.57,572.85,22459794.0,574.393,138059
2025-08-12,575.16,580.35,572.48,580.05,27036180.0,577.465,173485
2025-08-13,582.76,583.32,578.94,580.34,26298018.0,580.586,164715
2025-08-14,578.28,581.88,577.91,579.89,28782141.0,579.975,180546
2025-08-15,579.8,579.84,575.57,577.34,26379826.0,577.493,164052
2025-08-18,576.44,577.77,575.24,577.11,20168687.0,576.563,127050
2025-08-19,576.37,576.56,568.25,569.28,36695870.0,571.374,249320
2025-08-20,568.32,568.45,558.84,565.9,51049922.0,563.373,364148
2025-08-21,564.35,566.49,560.98,563.28,30975637.0,563.669,210062
2025-08-22,564.65,573.99,563.27,571.97,34669963.0,571.255,222259
2025-08-25,570.4,573.29,569.16,570.32,22276308.0,571.586,144220
2025-08-26,569.83,572.92,568.8,572.61,21983084.0,571.203,132553
2025-08-27,571.59,574.41,570.37,573.49,22673592.0,572.777,147558
2025-08-28,574.11,578.0,572.46,577.08,31420195.0,575.918,210634
2025-08-29,574.67,575.03,568.54,570.4,35250631.0,570.588,239182
2025-09-02,561.31,565.97,559.53,565.62,46535922.0,562.979,294563
2025-09-03,569.29,571.7,566.72,570.07,37177131.0,569.07,253565
2025-09-04,570.74,575.6,569.02,575.23,31864113.0,572.468,201487
2025-09-05,580.48,581.12,571.53,576.06,47405235.0,575.897,294581
2025-09-08,578.37,580.84,577.77,578.87,31331910.0,579.29,199173
2025-09-09,579.67,580.94,577.04,580.51,30907664.0,579.261,189799
2025-09-10,583.74,583.77,578.55,580.7,35507104.0,581.64,228118
2025-09-11,583.24,584.88,581.62,584.08,29757260.0,583.883,189905
2025-09-12,585.04,587.86,584.1,586.66,33438620.0,586.325,197186
2025-09-15,588.44,591.79,588.31,591.68,29428159.0,590.435,193780
2025-09-16,592.59,592.86,590.49,591.18,24187804.0,591.46,158757
2025-09-17,591.12,591.75,584.36,590.0,51177958.0,588.829,325966
2025-09-18,594.91,598.14,592.96,595.32,39721874.0,596.185,251972
2025-09-19,597.32,600.05,595.85,599.35,33342682.0,598.034,206743
2025-09-22,597.74,602.87,597.72,602.2,33281426.0,600.93,203997
2025-09-23,602.35,602.57,596.98,598.2,40975091.0,599.576,260073
2025-09-24,599.57,599.9,593.36,596.1,34231995.0,596.273,215202
2025-09-25,592.2,595.12,588.5,593.53,50857023.0,592.289,314485
2025-09-26,594.35,596.3,591.06,595.97,37213108.0,594.304,235751
2025-09-29,599.11,602.05,597.41,598.73,33059346.0,599.556,201326
2025-09-30,598.45,600.71,596.1,600.37,29416507.0,598.208,173606
2025-10-01,597.18,603.79,596.34,603.25,31637065.0,601.1,181294
2025-10-02,607.06,607.16,602.93,605.73,25428292.0,604.951,167636
2025-10-03,606.51,607.33,601.38,603.18,31368048.0,604.576,205301
2025-10-06,608.43,609.36,605.97,607.71,27411127.0,607.862,176221
2025-10-07,609.05,609.71,603.03,604.51,37657492.0,605.718,243154
2025-10-08,605.41,611.75,605.26,611.44,33106134.0,609.27,188650
2025-10-09,611.48,611.61,607.48,610.7,29738158.0,609.56,203224
2025-10-10,611.4,613.18,589.05,589.5,52969272.0,599.601,309282
2025-10-13,599.7,602.95,597.23,602.01,32821839.0,600.759,194081
2025-10-14,595.3,602.69,590.13,598.0,34137750.0,598.033,200763
2025-10-15,604.01,606.7,595.93,602.22,31962182.0,602.422,185443
2025-10-16,605.1,608.31,595.5,599.99,35242000.0,601.975,203313
2025-10-17,597.95,605.51,596.37,603.93,32718067.0,601.341,204516
2025-10-20,607.14,612.8,607.1,611.54,25035336.0,611.253,155636
2025-10-21,611.63,612.73,609.32,611.38,24899967.0,611.269,155062
2025-10-22,610.82,611.41,599.74,605.49,37984981.0,605.447,235518
2025-10-23,604.91,611.37,604.52,610.58,22884022.0,609.068,128084
2025-10-24,615.99,618.42,615.13,617.1,29772035.0,617.32,185345
2025-10-27,624.51,628.55,624.03,628.09,32925364.0,626.622,190480
2025-10-28,630.36,634.68,629.25,632.92,32617443.0,631.903,190602
