Date,Open,High,Low,Close,Volume,average,barCount
2025-03-04,579.71,585.39,572.25,576.86,61598707.0,577.655,336245
2025-03-05,576.71,584.88,573.07,583.06,45244328.0,579.521,237034
2025-03-06,575.44,580.18,570.12,572.71,48639166.0,574.023,262674
2025-03-07,570.86,577.39,565.63,575.92,52087778.0,572.279,275394
2025-03-10,567.59,569.54,555.59,560.58,56871569.0,562.351,305901
2025-03-11,559.4,564.02,552.02,555.92,55347200.0,557.71,303642
2025-03-12,562.16,563.11,553.69,558.87,41882388.0,559.314,229146
2025-03-13,558.49,559.11,549.68,551.42,40004231.0,553.293,222483
2025-03-14,556.11,563.83,555.5,562.81,36430168.0,560.545,191828
2025-03-17,562.77,569.71,562.35,567.15,30313617.0,566.385,160577
2025-03-18,564.79,565.02,559.06,561.02,29596073.0,561.022,165392
2025-03-19,562.83,570.95,561.63,567.13,35537738.0,566.205,201476
2025-03-20,563.33,570.57,562.6,565.49,33232837.0,566.528,174877
2025-03-21,559.29,564.89,558.03,563.98,35965499.0,561.773,192876
2025-03-24,570.8,575.15,570.2,574.08,32891680.0,573.29,165345
2025-03-25,575.3,576.41,573.69,575.46,23314557.0,574.92,113086
2025-03-26,575.19,576.33,567.19,568.59,30725419.0,570.575,149002
2025-03-27,567.2,570.9,564.94,567.08,29573617.0,568.205,145318
2025-03-28,565.52,566.27,555.07,555.66,44181535.0,558.113,205035
2025-03-31,549.82,560.72,546.87,559.39,50752869.0,555.076,271323
2025-04-01,557.45,562.94,553.68,560.97,34997622.0,558.909,185431
2025-04-02,555.05,567.42,554.81,564.52,35368184.0,562.83,190085
2025-04-03,545.11,547.97,536.7,536.7,74079775.0,542.031,390902
2025-04-04,523.72,525.87,505.06,505.28,128617635.0,513.887,712121
2025-04-07,489.19,523.17,481.8,504.38,177444566.0,501.246,1077268
2025-04-08,521.87,524.98,489.16,496.48,115950759.0,507.539,637876
2025-04-09,493.44,548.62,493.05,548.62,149687820.0,522.169,847385
2025-04-10,532.24,533.5,509.32,524.58,108446336.0,522.952,600444
2025-04-11,522.91,536.43,520.07,533.94,60063941.0,529.312,322550
2025-04-14,544.02,544.28,533.86,539.12,47337025.0,539.691,241305
2025-04-15,539.68,543.23,536.81,537.61,33896843.0,539.561,166986
2025-04-16,531.68,535.11,520.29,525.66,48450551.0,527.376,248112
2025-04-17,527.58,531.17,523.91,526.41,37752302.0,527.827,202989
2025-04-21,521.14,521.7,508.46,513.88,45406921.0,512.838,229047
2025-04-22,520.12,529.31,519.19,527.25,49630952.0,525.035,259454
2025-04-23,540.43,545.43,533.88,535.42,58976132.0,539.222,316583
2025-04-24,536.74,547.43,535.45,546.69,40007918.0,543.689,193500
2025-04-25,546.65,551.05,543.69,550.64,35555837.0,548.18,187216
2025-04-28,551.39,553.55,545.02,550.85,31612314.0,549.536,147600
2025-04-29,548.91,555.45,548.55,554.32,29530325.0,552.986,148904
2025-04-30,547.59,556.52,541.52,554.54,53285346.0,549.548,242505
2025-05-01,560.37,564.07,557.86,558.47,37414459.0,561.083,192141
2025-05-02,564.69,568.38,562.38,566.76,35752707.0,566.423,183958
2025-05-05,562.55,566.65,561.7,563.51,26178769.0,564.445,135398
2025-05-06,557.93,563.35,556.96,558.8,32169294.0,560.03,157436
2025-05-07,560.13,563.82,556.04,561.15,34962824.0,559.976,188004
2025-05-08,565.22,570.31,561.7,565.06,42995310.0,566.628,219246
2025-05-09,566.48,567.5,562.76,564.34,23584958.0,564.756,124153
2025-05-12,581.48,583.0,577.04,582.99,47208023.0,580.46,256072
2025-05-13,583.46,589.08,582.84,586.84,40045951.0,587.203,227864
2025-05-14,587.83,588.98,585.53,587.59,41667358.0,587.366,253218
2025-05-15,585.56,590.97,585.09,590.46,45753610.0,588.547,278709
2025-05-16,591.21,594.5,589.28,594.2,37433693.0,592.314,233940
2025-05-19,588.1,595.54,588.09,594.85,41765828.0,593.142,243532
2025-05-20,593.11,594.05,589.6,592.85,39358555.0,592.349,240821
2025-05-21,588.47,592.58,581.82,582.86,62899632.0,587.127,392036
2025-05-22,582.66,586.62,581.4,583.09,47836606.0,584.07,311772
2025-05-23,575.95,581.82,575.6,579.11,45459821.0,578.832,273351
2025-05-27,586.08,591.31,578.43,591.15,48453104.0,589.066,319406
2025-05-28,591.57,592.77,586.98,587.73,42840785.0,589.763,282507
2025-05-29,593.05,593.2,586.07,590.05,44595483.0,589.561,284864
2025-05-30,588.91,591.13,583.23,589.39,56099969.0,588.013,334282
2025-06-02,587.76,592.79,585.06,592.71,40979034.0,589.809,255483
2025-06-03,592.34,597.08,591.85,596.09,43996643.0,595.221,268374
2025-06-04,596.95,597.95,595.49,595.93,38628881.0,596.972,244072
2025-06-05,597.63,599.0,591.05,593.05,62243094.0,595.209,378476
2025-06-06,598.66,600.83,596.86,599.14,44462806.0,599.224,292522
2025-06-09,599.74,601.25,598.49,599.68,36153143.0,600.061,231411
2025-06-10,600.22,603.47,599.09,603.08,45274825.0,601.591,285802
2025-06-11,604.19,605.06,599.27,601.36,49308751.0,602.359,304055
2025-06-12,600.02,603.75,599.52,603.75,43134831.0,602.517,266364
2025-06-13,598.53,601.85,595.48,597.0,60204312.0,598.245,363732
2025-06-16,600.42,604.45,600.22,602.68,49809480.0,602.745,308532
2025-06-17,600.22,601.75,596.76,597.53,52801328.0,599.238,325939
2025-06-18,598.44,601.22,596.47,597.44,45025937.0,598.923,269926
2025-06-20,598.38,599.46,592.86,594.28,48038265.0,595.188,295057
2025-06-23,595.04,600.54,591.89,600.15,60240027.0,596.976,362569
2025-06-24,604.33,607.85,603.41,606.78,43084707.0,606.159,256997
2025-06-25,607.91,608.61,605.54,607.12,41660157.0,607.144,269149
2025-06-26,609.01,612.31,608.37,611.87,42357115.0,610.87,255731
2025-06-27,612.88,616.39,610.83,614.91,56990327.0,613.91,336516
2025-06-30,617.39,619.22,615.04,617.85,56331202.0,617.05,354561
2025-07-01,616.36,618.83,615.52,617.65,48833360.0,617.435,296723
2025-07-02,617.24,620.49,616.61,620.45,40694848.0,619.103,255146
2025-07-03,622.45,626.28,622.43,625.34,31051796.0,625.101,182873
2025-07-07,623.33,624.03,617.87,620.68,51556674.0,620.764,312925
2025-07-08,621.35,622.11,619.52,620.34,41483271.0,620.686,255410
2025-07-09,622.76,624.72,620.91,624.06,46370001.0,622.919,297173
2025-07-10,624.2,626.88,623.01,625.82,40215118.0,625.35,260313
2025-07-11,622.73,624.86,621.53,623.62,43818816.0,623.812,279145
2025-07-14,623.17,625.16,621.79,624.81,36217599.0,623.933,223316
2025-07-15,627.53,627.86,622.07,622.14,52004406.0,624.416,333155
2025-07-16,623.74,624.73,618.05,624.22,66160948.0,622.062,413735
2025-07-17,624.43,628.41,624.18,628.04,44586652.0,626.983,279310
2025-07-18,629.29,629.47,626.46,627.58,36018737.0,627.598,227435
2025-07-21,628.76,631.54,628.34,628.77,41438539.0,630.235,277532
2025-07-22,629.08,629.73,626.19,628.86,41675842.0,628.268,278825
2025-07-23,631.58,634.21,629.73,634.21,42705036.0,632.05,277164
2025-07-24,634.59,636.15,633.99,634.42,47040556.0,635.153,318404
2025-07-25,635.05,637.58,634.84,637.1,35685391.0,636.504,228877
2025-07-28,637.5,638.04,635.54,636.94,35275422.0,636.838,230578
2025-07-29,638.36,638.67,634.33,635.26,40633946.0,636.097,259380
2025-07-30,635.96,637.68,631.54,634.46,49395174.0,634.713,316538
2025-07-31,639.47,639.85,630.76,632.08,69203580.0,635.421,440817
2025-08-01,626.31,626.34,619.29,621.72,98857112.0,622.173,649771
2025-08-04,625.7,631.22,625.61,631.17,49109230.0,629.455,314673
2025-08-05,631.81,632.61,627.04,627.97,46420308.0,629.074,300382
2025-08-06,629.05,633.44,628.13,632.78,41094459.0,631.496,256792
2025-08-07,636.25,636.98,629.11,632.25,50791094.0,632.316,328969
2025-08-08,634.07,637.65,633.74,637.18,40689593.0,636.403,263730
2025-08-11,637.47,638.95,634.66,635.92,39973966.0,636.775,248686
2025-08-12,638.28,642.85,636.79,642.69,43530296.0,640.668,283398
2025-08-13,644.91,646.19,642.68,644.89,39297603.0,644.255,255868
2025-08-14,642.78,645.62,642.34,644.95,37750396.0,644.301,238773
2025-08-15,645.99,646.09,642.51,643.44,38115376.0,644.003,245532
2025-08-18,642.86,644.0,642.18,643.3,28319371.0,643.152,180560
2025-08-19,643.12,644.11,638.48,639.81,46373387.0,640.718,302659
2025-08-20,639.4,639.66,632.95,638.11,57583245.0,636.489,386247
2025-08-21,636.27,637.97,633.81,635.55,33619460.0,635.861,206738
2025-08-22,637.76,646.5,637.25,645.31,60280142.0,644.397,387471
