Date,Open,High,Low,Close,Volume,average,barCount
2025-03-04,50.63,53.43,47.4,49.7,2346360.0,50.671,11366
2025-03-05,49.36,50.67,47.3,47.42,1732884.0,48.754,9868
2025-03-06,50.48,52.82,49.2,52.68,1949527.0,51.314,11591
2025-03-07,52.52,54.16,50.01,50.29,1668953.0,51.99,8781
2025-03-10,53.11,56.75,52.49,55.77,1788529.0,54.26,9796
2025-03-11,56.06,59.07,54.9,55.76,1598577.0,56.925,8269
2025-03-12,53.63,56.25,52.47,52.9,1047041.0,53.913,5039
2025-03-13,53.26,56.41,52.21,55.21,970788.0,54.391,4778
2025-03-14,53.4,53.65,50.26,50.38,883818.0,52.262,4819
2025-03-17,49.93,49.93,48.23,48.49,1131021.0,48.898,9034
2025-03-18,48.22,50.57,48.22,49.83,749512.0,49.698,3771
2025-03-19,49.36,49.78,47.01,48.13,632891.0,48.194,3855
2025-03-20,49.09,49.27,46.9,47.33,621605.0,47.873,3492
2025-03-21,48.28,48.96,47.14,47.36,1308403.0,48.006,6151
2025-03-24,45.68,45.76,44.21,44.31,822242.0,45.044,4597
2025-03-25,44.01,44.84,43.95,44.67,562356.0,44.476,2884
2025-03-26,44.13,46.99,44.06,46.03,844032.0,45.778,3933
2025-03-27,46.43,47.45,45.63,46.33,542330.0,46.424,2920
2025-03-28,47.0,50.64,46.47,50.48,1166274.0,49.201,5850
2025-03-31,53.33,54.15,49.74,50.26,1565080.0,51.447,7970
2025-04-01,51.07,52.84,49.62,50.33,678853.0,50.971,3366
2025-04-02,52.42,52.5,48.18,48.95,1028278.0,50.077,4428
2025-04-03,56.39,61.26,54.79,60.95,2544202.0,57.752,14415
2025-04-04,68.45,74.81,65.36,73.12,3890274.0,70.062,22275
2025-04-07,79.76,83.02,66.0,73.52,2459109.0,74.82,15057
2025-04-08,66.21,89.15,65.94,82.83,2853369.0,76.494,15715
2025-04-09,85.35,87.27,61.91,65.5,1940318.0,74.287,11594
2025-04-10,70.34,85.11,68.18,77.91,2515208.0,76.828,14668
2025-04-11,80.0,83.91,75.28,75.69,1815634.0,79.167,11356
2025-04-14,68.84,74.25,66.69,67.0,1237139.0,70.221,6340
2025-04-15,67.16,67.87,64.3,66.5,701311.0,66.094,4026
2025-04-16,69.22,73.66,67.0,72.05,882978.0,70.166,4665
2025-04-17,70.35,71.43,69.5,69.96,660368.0,70.286,3598
2025-04-21,70.86,76.0,70.65,74.1,1125388.0,73.805,4402
2025-04-22,71.56,71.86,69.08,69.58,441834.0,70.437,2429
2025-04-23,65.98,69.17,64.79,67.11,657168.0,66.669,4666
2025-04-24,66.43,66.49,64.25,64.84,520682.0,65.026,2863
2025-04-25,64.42,65.8,61.86,61.91,335591.0,63.588,2013
2025-04-28,61.24,64.65,61.13,62.34,420090.0,62.876,2646
2025-04-29,62.93,63.28,61.45,61.72,625650.0,62.126,3611
2025-04-30,63.87,66.93,62.61,63.14,975919.0,64.614,4299
2025-05-01,61.37,63.08,61.26,62.2,308557.0,61.942,1607
2025-05-02,60.8,61.29,59.46,59.57,319147.0,60.362,1976
2025-05-05,60.77,61.22,59.65,60.79,493639.0,60.39,2888
2025-05-06,62.51,63.35,61.35,63.15,777559.0,62.467,4465
2025-05-07,62.48,63.57,61.1,61.55,711864.0,62.257,4229
2025-05-08,60.39,60.88,58.55,59.15,870946.0,59.471,5851
2025-05-09,58.83,59.24,57.95,58.72,455194.0,58.575,2799
2025-05-12,54.03,54.23,50.93,51.1,931820.0,52.475,5425
2025-05-13,50.18,50.83,49.13,50.5,1146717.0,49.913,6394
2025-05-14,50.66,51.97,50.63,51.73,709656.0,51.223,4168
2025-05-15,52.27,52.74,50.83,50.86,496755.0,51.653,3025
2025-05-16,50.44,51.29,50.07,51.29,694525.0,50.65,4757
2025-05-19,53.0,53.0,50.89,51.29,1047942.0,51.6,6720
2025-05-20,51.2,52.14,50.68,50.83,1215846.0,51.293,8058
2025-05-21,52.06,55.08,50.97,54.35,1448321.0,52.993,8379
2025-05-22,54.64,55.06,52.96,53.93,824581.0,53.551,4715
2025-05-23,57.69,57.99,55.63,57.47,901277.0,56.739,5047
2025-05-27,53.86,54.47,51.61,51.72,698429.0,52.618,4278
2025-05-28,51.62,52.63,51.59,52.24,400166.0,52.126,2044
2025-05-29,50.99,53.09,50.89,52.31,486578.0,52.028,2294
2025-05-30,53.04,54.68,52.05,52.77,661578.0,53.25,4034
2025-06-02,53.15,53.55,51.97,52.0,522785.0,52.503,2621
2025-06-03,51.75,51.93,50.74,50.91,525996.0,51.252,3255
2025-06-04,50.81,51.23,50.57,51.06,595918.0,50.791,3125
2025-06-05,50.31,52.27,49.37,52.0,877402.0,50.601,4806
2025-06-06,50.51,50.53,49.5,49.78,744270.0,49.876,3892
2025-06-09,49.3,49.52,48.69,49.11,586933.0,49.041,3078
2025-06-10,49.07,49.36,48.6,48.94,888681.0,48.881,5053
2025-06-11,48.08,50.06,47.54,49.16,2373204.0,48.986,11604
2025-06-12,49.94,50.29,49.07,49.96,1292386.0,49.63,6779
2025-06-13,52.37,54.68,50.94,53.81,2682072.0,52.794,15507
2025-06-16,51.75,51.75,49.62,49.81,1269989.0,50.237,6779
2025-06-17,51.04,53.86,50.67,52.83,1441383.0,52.091,7521
2025-06-18,53.01,53.52,50.61,51.58,1142177.0,51.945,6435
2025-06-20,51.1,52.9,50.8,52.16,895192.0,51.933,5296
2025-06-23,52.16,54.17,51.33,51.41,1481179.0,52.071,6874
2025-06-24,48.87,48.87,47.75,47.75,1404089.0,48.459,6140
2025-06-25,47.45,48.17,47.31,47.39,527134.0,47.683,2111
2025-06-26,47.3,47.34,46.82,47.19,544642.0,47.067,2829
2025-06-27,46.76,48.07,46.68,47.13,875509.0,47.241,4588
2025-06-30,46.5,47.25,46.46,46.88,718895.0,46.815,3808
2025-07-01,47.25,47.25,46.35,46.81,893304.0,46.735,5070
2025-07-02,46.89,47.08,46.28,46.67,1054580.0,46.616,5771
2025-07-03,45.89,46.52,45.66,46.29,1117671.0,46.149,6138
2025-07-07,46.94,47.78,46.67,46.86,1612378.0,47.158,8649
2025-07-08,45.93,46.09,45.42,45.8,694728.0,45.789,3786
2025-07-09,44.62,45.06,44.14,44.2,870369.0,44.526,5101
2025-07-10,43.99,44.29,43.7,43.86,754524.0,43.976,3452
2025-07-11,44.81,44.87,43.61,44.07,816380.0,44.13,4118
2025-07-14,44.54,44.8,44.22,44.74,705033.0,44.609,3392
2025-07-15,43.79,44.54,43.74,44.41,1042332.0,44.169,5345
2025-07-16,44.35,46.89,44.1,44.82,1396358.0,45.175,6846
2025-07-17,44.61,44.84,44.3,44.62,613803.0,44.559,3098
2025-07-18,44.15,44.5,43.94,43.96,660927.0,44.169,3743
2025-07-21,43.52,43.76,42.81,43.7,943400.0,43.326,5190
2025-07-22,43.53,44.64,43.38,43.55,1113860.0,43.839,6636
2025-07-23,42.88,43.25,41.67,41.77,1498362.0,42.385,8251
2025-07-24,41.46,41.76,41.11,41.61,1506969.0,41.407,8910
2025-07-25,41.67,41.78,41.17,41.23,1080934.0,41.397,6276
2025-07-28,40.4,40.71,40.1,40.1,1563243.0,40.34,8623
2025-07-29,39.69,41.3,39.44,41.04,1432293.0,40.466,8076
2025-07-30,40.92,41.92,40.53,41.24,1134908.0,41.151,6024
2025-07-31,40.39,41.69,40.07,41.49,1289926.0,40.725,7050
2025-08-01,43.4,45.77,43.32,44.76,2955223.0,44.644,17476
2025-08-04,43.59,43.6,41.73,41.73,1608898.0,42.34,7610
2025-08-05,41.63,43.39,41.54,42.16,1140311.0,42.363,6406
2025-08-06,42.06,42.35,40.82,40.86,1096710.0,41.369,6447
2025-08-07,40.28,41.8,40.14,41.18,1143099.0,41.093,5748
2025-08-08,40.5,40.61,39.61,39.76,1754226.0,40.101,8917
2025-08-11,39.64,40.18,39.34,39.95,1262793.0,39.696,6571
2025-08-12,39.2,39.23,38.18,38.25,1493321.0,38.646,8017
2025-08-13,37.75,38.28,37.67,38.03,1331991.0,37.961,8421
2025-08-14,38.7,38.79,37.94,38.14,1295248.0,38.265,6578
2025-08-15,37.91,38.36,37.78,37.97,1757664.0,38.052,10275
2025-08-18,37.96,37.97,36.9,37.11,1308129.0,37.364,6776
2025-08-19,36.7,38.01,36.65,37.85,1989094.0,37.491,11790
2025-08-20,37.95,39.03,37.5,37.61,1714151.0,38.327,7269
2025-08-21,38.19,38.77,37.82,38.19,1018078.0,38.225,4909
2025-08-22,37.97,38.07,35.02,35.19,2613631.0,36.099,12483
2025-08-25,35.43,35.64,34.9,35.13,1082770.0,35.161,5066
2025-08-26,35.46,35.46,34.89,34.94,922889.0,35.055,4959
2025-08-27,35.02,35.5,34.88,35.09,1203694.0,35.079,6534
2025-08-28,34.6,35.09,34.46,34.55,991877.0,34.682,5548
2025-08-29,34.51,35.61,34.34,35.26,1820952.0,35.093,9817
2025-09-02,37.14,37.92,36.35,36.35,2301437.0,37.1,11433
2025-09-03,36.19,36.23,35.46,35.5,1169657.0,35.797,7476
2025-09-04,35.26,35.32,34.37,34.46,1075673.0,34.791,6468
2025-09-05,33.66,35.49,33.55,34.49,2030513.0,34.616,12001
2025-09-08,34.16,34.26,33.79,33.88,1580561.0,34.001,7670
2025-09-09,34.09,34.47,33.67,33.71,1225299.0,33.977,6882
2025-09-10,33.34,33.83,33.15,33.58,1769023.0,33.447,9153
2025-09-11,33.01,33.18,32.71,32.73,1393373.0,32.891,7601
2025-09-12,32.76,32.83,32.33,32.68,1079371.0,32.497,5645
2025-09-15,32.38,33.11,32.32,33.08,1923612.0,32.804,9452
2025-09-16,33.14,33.67,33.05,33.58,1531331.0,33.342,9655
2025-09-17,33.31,33.35,31.88,32.37,2807043.0,32.667,14238
2025-09-18,31.82,32.4,31.75,32.25,1341273.0,32.073,6760
2025-09-19,32.03,32.77,32.02,32.34,1029575.0,32.332,5379
2025-09-22,32.53,32.92,32.3,32.88,1997330.0,32.629,10349
2025-09-23,32.77,33.81,32.75,33.25,2517649.0,33.338,13038
2025-09-24,33.05,33.85,32.82,32.83,1212885.0,33.256,7249
2025-09-25,33.59,33.9,32.57,33.27,1892857.0,33.275,11732
2025-09-26,32.97,33.49,31.92,31.99,1361168.0,32.511,8118
2025-09-29,31.82,32.6,31.76,32.4,1540755.0,32.277,9965
2025-09-30,32.57,32.7,32.11,32.3,1410881.0,32.362,8687
